Trip/Eats ID,Transaction Timestamp (UTC),Request Date (UTC),Request Time (UTC),Request Date (Local),Request Time (Local),Drop-off Date (UTC),Drop-off Time (UTC),Drop-off Date (Local),Drop-off Time (Local),Request Timezone Offset from UTC,First Name,Last Name,Email,employee name ,Employee ID,Service,City,Distance (mi),Duration (min),PICKUP ZIP,DROP OFF ZIP,Expense Code,Program,Group,Payment Method,Transaction Type,Fare in Local Currency (excl. Taxes),Taxes in Local Currency,Tip in Local Currency,Transaction Amount in Local Currency (incl. Taxes),Local Currency Code,Fare in USD (excl. Taxes),Taxes in USD,Tip in USD,Transaction Amount in USD (incl. Taxes),"Estimated Service and Technology Fee (incl. Taxes, if any) in USD"
a5942a38-0161-4c48-b40e-f9d487738b7f,6/1/19 22:29,6/1/19,9:06PM,6/1/19,5:06PM,6/1/19,10:29PM,6/1/19,6:29PM,-05:00,Blade,Employee8,Employee8@blyblade.com,--_--,--,Central | Premium SUV,NYC Suburbs,34.31,54,"11978, USA","11930, USA",--,OPS/FR/CX - PAX Rides,--,Monthly Billing,Fare,269.19,0,0,269.19,USD,269.19,0,0,269.19,26.92
75c963d2-ef73-431d-9c02-f4f556014f73,6/1/19 22:39,6/1/19,9:38PM,6/1/19,5:38PM,6/1/19,10:39PM,6/1/19,6:39PM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Premium SUV,NYC Suburbs,28.19,49,"11978, USA","11963, USA",EXP2,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,278.33,0,0,278.33,USD,278.33,0,0,278.33,27.83
0a20b1cd-a8af-41c3-ba5d-98cdba72bd2b,6/2/19 0:42,6/2/19,12:03AM,6/1/19,8:03PM,6/2/19,12:42AM,6/1/19,8:42PM,-05:00,Blade,Employee5,Employee5@blyblade.com,Torey_McNeil,--,Travel | UberX Diamond,New York City,9.53,37,"10011, USA","11374, USA",EXP12,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,51.89,0,0,51.89,USD,51.89,0,0,51.89,5.19
64eb3792-ad9a-48f6-a3e1-04c6367745c0,6/2/19 1:11,6/2/19,12:31AM,6/1/19,8:31PM,6/2/19,1:11AM,6/1/19,9:11PM,-05:00,Blade,Employee3,Employee3@blyblade.com,Esjona_Kadiu,--,Travel | UberX,New York City,11.76,37,"10011, USA","11214, USA",EXP12,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,40.3,0,0,40.3,USD,40.3,0,0,40.3,4.03
a2f73699-1b5e-4c79-b528-8df0f838c296,6/2/19 15:53,6/2/19,3:37PM,6/2/19,11:37AM,6/2/19,3:53PM,6/2/19,11:53AM,-05:00,Blade,Employee9,Employee9@blyblade.com,Emily_Antner,--,Travel | UberX,New York City,2.78,8,"10065, USA","10016, USA",EXP8,CORP - Employee Rides,DEPT - FR - NY,Monthly Billing,Fare,16.17,0,0,16.17,USD,16.17,0,0,16.17,1.62
178ffebe-ed6b-4de7-b85c-db525904c893,6/2/19 16:13,6/2/19,3:59PM,6/2/19,11:59AM,6/2/19,4:12PM,6/2/19,12:12PM,-05:00,Blade,Employee9,Employee9@blyblade.com,Emily_Antner,--,Travel | UberX,New York City,1.71,9,"10016, USA","10022, USA",EXP8,CORP - Employee Rides,DEPT - FR - NY,Monthly Billing,Fare,19.77,0,0,19.77,USD,19.77,0,0,19.77,1.98
6dabf329-20f2-4085-932f-50a32056db27,6/2/19 16:24,6/2/19,4:21PM,6/2/19,12:21PM,--,--,--,--,-05:00,Blade,Employee6,Employee6@blyblade.com,Matthew_Brody,--,Travel | Premium SUV,NYC Suburbs,--,--,"11978, USA","11978, USA",EXP2,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,10,0,0,10,USD,10,0,0,10,1
b5feccef-f58b-4fc0-ab87-7a11b113340a,6/2/19 16:25,6/2/19,3:54PM,6/2/19,11:54AM,6/2/19,4:25PM,6/2/19,12:25PM,-05:00,Blade,Employee10,Employee10@blyblade.com,Max_Schrage,--,Travel | UberX VIP,New York City,2.5,24,"10018, USA","10011, USA",EXP3,CORP - Employee Rides,DEPT - OPS - CA,Monthly Billing,Fare,18.05,0,0,18.05,USD,18.05,0,0,18.05,1.81
05be8730-6eda-42b8-9a1a-cdf6ad4763d8,6/2/19 17:03,6/2/19,4:31PM,6/2/19,12:31PM,6/2/19,5:03PM,6/2/19,1:03PM,-05:00,Blade,Employee11,Employee11@blyblade.com,Mimi_Grassi,--,Travel | Premium,NYC Suburbs,16.19,21,"11978, USA","11968, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,99.02,0,0,99.02,USD,99.02,0,0,99.02,9.9
24f1de0b-d58d-4c0c-9518-a372b9647356,6/2/19 17:05,6/2/19,4:27PM,6/2/19,12:27PM,6/2/19,5:04PM,6/2/19,1:04PM,-05:00,Blade,Employee1,Employee1@blyblade.com,Jake_Mirto,--,Travel | Premium SUV,NYC Suburbs,16.15,23,"11978, USA","11968, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,125.24,0,0,125.24,USD,125.24,0,0,125.24,12.52
2e250dcd-5710-4854-a8f8-437839ead1a4,6/2/19 17:22,6/2/19,4:34PM,6/2/19,12:34PM,6/2/19,5:21PM,6/2/19,1:21PM,-05:00,Blade,Employee12,Employee12@blyblade.com,Lysane_Sanchez,--,Travel | UberX Diamond,New York City,18.24,42,"10038, USA","11430, USA",EXP9,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,58.04,0,0,58.04,USD,58.04,0,0,58.04,5.8
488036b2-7fa4-4452-bf28-9673a18e9866,6/2/19 18:28,6/2/19,6:02PM,6/2/19,2:02PM,6/2/19,6:28PM,6/2/19,2:28PM,-05:00,Blade,Employee13,Employee13@blyblade.com,Evelyn_Pelczar,--,Travel | UberX Diamond,New York City,3.17,24,"11211, USA","10010, USA",EXP3,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,28.5,0,0,28.5,USD,28.5,0,0,28.5,2.85
47e8a04e-819a-446d-b0b1-8e427e6e5efb,6/2/19 19:02,6/2/19,6:55PM,6/2/19,2:55PM,6/2/19,7:02PM,6/2/19,3:02PM,-05:00,Blade,Employee14,Employee14@blyblade.com,Bowie_Tam,--,Travel | UberX,New York City,1.27,3,"11430, USA","11430, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,8.01,0,0,8.01,USD,8.01,0,0,8.01,0.8
b929e30a-edb1-4be0-8d8e-2c3299d3a53f,6/2/19 19:04,6/2/19,6:54PM,6/2/19,2:54PM,--,--,--,--,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,0,4,"10004, USA","10004, USA",EXP9,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,9.56,0,0,9.56,USD,9.56,0,0,9.56,0.96
d76cea77-c739-4d2d-aabb-9037c61b0e2e,6/2/19 19:26,6/2/19,6:44PM,6/2/19,2:44PM,6/2/19,7:26PM,6/2/19,3:26PM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Black SUV,New York City,5.4,39,"11430, USA","11430, USA",EXP9,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,90.77,0,0,90.77,USD,90.77,0,0,90.77,9.08
9f6e24ad-b563-4b70-987b-9062d7c3ee51,6/2/19 21:04,6/2/19,8:30PM,6/2/19,4:30PM,6/2/19,9:04PM,6/2/19,5:04PM,-05:00,Blade,Employee1,Employee1@blyblade.com,Jake_Mirto,--,Travel | Premium SUV,NYC Suburbs,6.24,25,"11937, USA","11963, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,59.92,0,0,59.92,USD,59.92,0,0,59.92,5.99
105fc5ee-41e7-4b30-ae7b-27555128200c,6/2/19 22:44,6/2/19,10:35PM,6/2/19,6:35PM,--,--,--,--,-05:00,Blade,Employee12,Employee12@blyblade.com,Lysane_Sanchez,--,Travel | Black SUV,New York City,--,--,"11430, USA","11430, USA",EXP9,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,10.89,0,0,10.89,USD,10.89,0,0,10.89,1.09
638a82bf-883d-46f0-bea6-e0fdbe4a1ac3,6/2/19 22:54,6/2/19,10:19PM,6/2/19,6:19PM,6/2/19,10:53PM,6/2/19,6:53PM,-05:00,Blade,Employee5,Employee5@blyblade.com,Torey_McNeil,--,Travel | Black SUV,New York City,5.93,17,"11430, USA","11422, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,79.21,0,0,79.21,USD,79.21,0,0,79.21,7.92
df689355-df10-40e1-ba7a-814dce3f69dc,6/2/19 22:58,6/2/19,10:24PM,6/2/19,6:24PM,6/2/19,10:58PM,6/2/19,6:58PM,-05:00,Blade,Employee14,Employee14@blyblade.com,Bowie_Tam,--,Travel | Black SUV,New York City,5.33,30,"11430, USA","11430, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,79.6,0,0,79.6,USD,79.6,0,0,79.6,7.96
a2207528-e4a6-4213-bb32-81913d8418aa,6/2/19 23:19,6/2/19,10:58PM,6/2/19,6:58PM,6/2/19,11:19PM,6/2/19,7:19PM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Black SUV,New York City,7.61,18,"11430, USA","11516, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,76.2,0,0,76.2,USD,76.2,0,0,76.2,7.62
a8968cc6-8161-4a25-8bbe-0ba443288cbf,6/2/19 23:31,6/2/19,10:04PM,6/2/19,6:04PM,6/2/19,11:30PM,6/2/19,7:30PM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,38.44,81,"10038, USA","10604, USA",EXP9,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,146.85,0,0,146.85,USD,146.85,0,0,146.85,14.69
d0180cd9-867a-4236-8fd3-dd02798eca04,6/3/19 0:49,6/2/19,11:43PM,6/2/19,7:43PM,6/3/19,12:49AM,6/2/19,8:49PM,-05:00,Blade,Employee6,Employee6@blyblade.com,Matthew_Brody,--,Travel | Premium SUV,NYC Suburbs,32,49,"10604, USA","10003, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,127.98,0,0,127.98,USD,127.98,0,0,127.98,12.8
d0180cd9-867a-4236-8fd3-dd02798eca04,6/3/19 0:51,6/2/19,11:43PM,6/2/19,7:43PM,6/3/19,12:49AM,6/2/19,8:49PM,-05:00,Blade,Employee6,Employee6@blyblade.com,Matthew_Brody,--,Travel | Premium SUV,NYC Suburbs,32,49,"10604, USA","10003, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Tip,0,0,20.01,20.01,USD,0,0,20.01,20.01,0
a8968cc6-8161-4a25-8bbe-0ba443288cbf,6/3/19 0:56,6/2/19,10:04PM,6/2/19,6:04PM,6/2/19,11:30PM,6/2/19,7:30PM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,38.44,81,"10038, USA","10604, USA",EXP9,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,22.57,22.57,USD,0,0,22.57,22.57,0
05c08466-5224-46f3-b331-b92977ad802c,6/3/19 1:01,6/3/19,12:04AM,6/2/19,8:04PM,6/3/19,1:01AM,6/2/19,9:01PM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,NYC Suburbs,34.51,47,"10604, USA","10038, USA",EXP9,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,62.11,0,0,62.11,USD,62.11,0,0,62.11,6.21
bf34f3b4-1c13-4504-8c20-12be4ec86ae3,6/3/19 1:11,6/3/19,12:31AM,6/2/19,8:31PM,6/3/19,1:11AM,6/2/19,9:11PM,-05:00,Blade,Employee15,Employee15@blyblade.com,Jess_Rooney,--,Travel | UberX Diamond,New York City,14.84,33,"10280, USA","07608, USA",EXP3,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,78.29,0,0,78.29,USD,78.29,0,0,78.29,7.83
be456448-f900-4d22-b89d-9a7813c38e6d,6/3/19 1:57,6/3/19,1:39AM,6/2/19,9:39PM,6/3/19,1:57AM,6/2/19,9:57PM,-05:00,Blade,Employee12,Employee12@blyblade.com,Lysane_Sanchez,--,Travel | UberX Diamond,New York City,2.44,11,"10011, USA","10014, USA",EXP12,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,15.35,0,0,15.35,USD,15.35,0,0,15.35,1.54
8572a47f-c792-4beb-ad6c-c1079b3fd0d0,6/3/19 2:25,6/3/19,1:55AM,6/2/19,9:55PM,6/3/19,2:25AM,6/2/19,10:25PM,-05:00,Blade,Employee16,Employee16@blyblade.com,Hunter_Senning,--,Travel | UberX,New Jersey,9.4,18,"07608, USA","07086, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,18.68,0,0,18.68,USD,18.68,0,0,18.68,1.87
622f8fb8-4294-4f23-8d09-333182601868,6/3/19 2:40,6/3/19,2:15AM,6/2/19,10:15PM,6/3/19,2:40AM,6/2/19,10:40PM,-05:00,Blade,Employee1,Employee1@blyblade.com,Jake_Mirto,--,Travel | Premium SUV,NYC Suburbs,8.06,18,"11937, USA","11963, USA",EXP1,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,70.23,0,0,70.23,USD,70.23,0,0,70.23,7.02
20d0ea0f-5f95-4848-aa21-87454886f0ea,6/3/19 2:56,6/3/19,2:00AM,6/2/19,10:00PM,6/3/19,2:56AM,6/2/19,10:56PM,-05:00,Blade,Employee15,Employee15@blyblade.com,Jess_Rooney,--,Travel | UberX,New Jersey,16.37,42,"07608, USA",ted States,EXP3,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,46.87,0,0,46.87,USD,46.87,0,0,46.87,4.69
fa5c4584-6f65-4b93-9f9a-e5f7c9124839,6/3/19 3:24,6/3/19,2:49AM,6/2/19,10:49PM,6/3/19,3:24AM,6/2/19,11:24PM,-05:00,Blade,Employee3,Employee3@blyblade.com,Esjona_Kadiu,--,Travel | UberX,New York City,12.15,31,"10011, USA","11214, USA",EXP12,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,42.95,0,0,42.95,USD,42.95,0,0,42.95,4.3
05c08466-5224-46f3-b331-b92977ad802c,6/3/19 10:50,6/3/19,12:04AM,6/2/19,8:04PM,6/3/19,1:01AM,6/2/19,9:01PM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,NYC Suburbs,34.51,47,"10604, USA","10038, USA",EXP9,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,8.2,8.2,USD,0,0,8.2,8.2,0
51b5f7a4-ba78-4a57-b7a6-7fce035fbbbd,6/3/19 11:05,6/3/19,10:54AM,6/3/19,6:54AM,6/3/19,11:05AM,6/3/19,7:05AM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,3.93,7,"10038, USA","10016, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,14.02,0,0,14.02,USD,14.02,0,0,14.02,1.4
51b5f7a4-ba78-4a57-b7a6-7fce035fbbbd,6/3/19 11:05,6/3/19,10:54AM,6/3/19,6:54AM,6/3/19,11:05AM,6/3/19,7:05AM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,3.93,7,"10038, USA","10016, USA",EXP10,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,1.03,1.03,USD,0,0,1.03,1.03,0
95d35810-cad3-4e73-9a11-d73c08f74b0a,6/3/19 11:11,6/3/19,10:50AM,6/3/19,6:50AM,6/3/19,11:11AM,6/3/19,7:11AM,-05:00,Blade,Employee13,Employee13@blyblade.com,Evelyn_Pelczar,--,Travel | UberX Diamond,New York City,3.64,17,"11211, USA","10010, USA",EXP3,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,35.33,0,0,35.33,USD,35.33,0,0,35.33,3.53
bf36d7b5-a177-4d65-9f48-edad33c82f3e,6/3/19 11:19,6/3/19,10:47AM,6/3/19,6:47AM,6/3/19,11:19AM,6/3/19,7:19AM,-05:00,Blade,Employee5,Employee5@blyblade.com,Torey_McNeil,--,Travel | UberX Diamond,New York City,9.12,28,"11374, USA","10001, USA",EXP8,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,47.38,0,0,47.38,USD,47.38,0,0,47.38,4.74
c90b3ca1-9374-4f99-a54f-3322ef87de6e,6/3/19 11:22,6/3/19,10:45AM,6/3/19,6:45AM,6/3/19,11:21AM,6/3/19,7:21AM,-05:00,Blade,Employee3,Employee3@blyblade.com,Esjona_Kadiu,--,Travel | UberX,New York City,12.19,32,"11214, USA","10001, USA",EXP8,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,58.81,0,0,58.81,USD,58.81,0,0,58.81,5.88
8b773caf-4cd3-4b29-8ff5-d46d18f991ed,6/3/19 12:38,6/3/19,12:13PM,6/3/19,8:13AM,6/3/19,12:38PM,6/3/19,8:38AM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Black SUV,New York City,2.93,18,"10011, USA","10282, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,47.13,0,0,47.13,USD,47.13,0,0,47.13,4.71
8b773caf-4cd3-4b29-8ff5-d46d18f991ed,6/3/19 12:39,6/3/19,12:13PM,6/3/19,8:13AM,6/3/19,12:38PM,6/3/19,8:38AM,-05:00,Blade,Employee2,Employee2@blyblade.com,Cal_Thompson,--,Travel | Black SUV,New York City,2.93,18,"10011, USA","10282, USA",EXP10,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Tip,0,0,20.5,20.5,USD,0,0,20.5,20.5,0
b6759fee-5dee-4bfc-8c16-63389319a7e9,6/3/19 13:44,6/3/19,12:22PM,6/3/19,8:22AM,6/3/19,1:44PM,6/3/19,9:44AM,-05:00,Blade,Employee17,Employee17@blyblade.com,Nate_Alexander,--,Travel | UberX,New Jersey,27.47,75,"07417, USA","10011, USA",EXP11,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,63.43,0,0,63.43,USD,63.43,0,0,63.43,6.34
24cde8e2-65a4-4d68-8bcd-36913f268f9c,6/3/19 13:56,6/3/19,12:46PM,6/3/19,8:46AM,6/3/19,1:56PM,6/3/19,9:56AM,-05:00,Blade,Employee3,Employee3@blyblade.com,Esjona_Kadiu,--,Travel | UberX,New York City,5.66,56,"10011, USA","10011, USA",EXP11,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,53.43,0,0,53.43,USD,53.43,0,0,53.43,5.34
24cde8e2-65a4-4d68-8bcd-36913f268f9c,6/3/19 13:57,6/3/19,12:46PM,6/3/19,8:46AM,6/3/19,1:56PM,6/3/19,9:56AM,-05:00,Blade,Employee3,Employee3@blyblade.com,Esjona_Kadiu,--,Travel | UberX,New York City,5.66,56,"10011, USA","10011, USA",EXP11,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,3.96,3.96,USD,0,0,3.96,3.96,0
2ed4fba0-3b9a-45ff-af61-f7c1c797903f,6/3/19 14:23,6/3/19,1:49PM,6/3/19,9:49AM,6/3/19,2:23PM,6/3/19,10:23AM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,7.53,19,"10016, USA","10004, USA",EXP5,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,23.9,0,0,23.9,USD,23.9,0,0,23.9,2.39
770116f4-acd0-4d8d-bafb-92928b72a543,6/3/19 14:55,6/3/19,2:30PM,6/3/19,10:30AM,6/3/19,2:55PM,6/3/19,10:55AM,-05:00,Blade,Employee5,Employee5@blyblade.com,Torey_McNeil,--,Travel | UberX Diamond,New York City,1.49,14,"10011, USA","10010, USA",EXP6,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,17.24,0,0,17.24,USD,17.24,0,0,17.24,1.72
b27286b3-1cd6-422d-afd2-cfe3da959154,6/3/19 15:26,6/3/19,2:59PM,6/3/19,10:59AM,6/3/19,3:26PM,6/3/19,11:26AM,-05:00,Blade,Employee12,Employee12@blyblade.com,Lysane_Sanchez,--,Travel | UberX Diamond,New York City,4.58,21,"10038, USA","10001, USA",EXP7,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,27.32,0,0,27.32,USD,27.32,0,0,27.32,2.73
8e0b24f4-4278-4ac2-9639-3c117666d308,6/3/19 15:59,6/3/19,3:35PM,6/3/19,11:35AM,6/3/19,3:59PM,6/3/19,11:59AM,-05:00,Blade,Employee5,Employee5@blyblade.com,Torey_McNeil,--,Travel | UberX Diamond,New York City,1.76,20,"10010, USA","10011, USA",EXP6,CORP - Employee Rides,DEPT - OPS - NY,Monthly Billing,Fare,19,0,0,19,USD,19,0,0,19,1.9
2ed4fba0-3b9a-45ff-af61-f7c1c797903f,6/3/19 16:35,6/3/19,1:49PM,6/3/19,9:49AM,6/3/19,2:23PM,6/3/19,10:23AM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,7.53,19,"10016, USA","10004, USA",EXP5,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,3.67,3.67,USD,0,0,3.67,3.67,0
f4380097-e99b-4570-b262-d0d9c06aa9e4,6/3/19 17:10,6/3/19,4:36PM,6/3/19,12:36PM,6/3/19,5:10PM,6/3/19,1:10PM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,2.36,26,"10016, USA","10011, USA",EXP5,CORP - Employee Rides,DEPT - CX,Monthly Billing,Tip,0,0,1.03,1.03,USD,0,0,1.03,1.03,0
f4380097-e99b-4570-b262-d0d9c06aa9e4,6/3/19 17:10,6/3/19,4:36PM,6/3/19,12:36PM,6/3/19,5:10PM,6/3/19,1:10PM,-05:00,Blade,Employee4,Employee4@blyblade.com,Oksana_Orlov,--,Travel | UberX,New York City,2.36,26,"10016, USA","10011, USA",EXP5,CORP - Employee Rides,DEPT - CX,Monthly Billing,Fare,15.76,0,0,15.76,USD,15.76,0,0,15.76,1.58
